ts,commit,backend,model,quant,batching,paging,prefix_cache,workload,rate,concurrency,n,rps,p50_ttft_ms,p95_ttft_ms,p99_ttft_ms,p50_tpot_ms,p95_tpot_ms,p50_e2e_ms,p95_e2e_ms,p99_e2e_ms,decode_tok_s,mem_peak_mb,avg_batch_size,max_batch_size,admit_wait_p95_ms,step_overhead_p50_ms,step_overhead_p95_ms,batched_forward_frac,forward_p50_ms,forward_p95_ms,prefix_cache_hit_rate,prefix_cache_size,shared_prefix_tokens
20260422T062850Z,,hf_mps,tinyllama-1.1b-chat,fp16,off,off,off,poisson,2.0,4,100,0.172,247174.88,488839.13,511326.51,48.5,49.21,253155.19,495014.34,514239.19,21.5,977.8,,,,,,,,,,,
20260422T063250Z,,llama_cpp,tinyllama-1.1b-chat,Q8_0,off,off,off,poisson,2.0,4,100,1.431,5049.84,9901.44,10573.59,21.05,29.47,7533.18,12746.29,13416.23,47.5,47.0,,,,,,,,,,,
20260422T063417Z,,llama_cpp,tinyllama-1.1b-chat,Q4_K_M,off,off,off,poisson,2.0,4,100,1.164,12263.37,22916.54,23690.87,25.3,34.64,15530.99,26276.78,27093.89,39.13,47.0,,,,,,,,,,,
20260422T065351Z,cea6401,hf_mps,tinyllama-1.1b-chat,fp16,off,off,off,closed-loop,2.0,1,20,0.183,135.33,253.12,314.01,48.51,49.32,6296.3,6410.73,6459.39,21.82,87.1,,,,,,,,,,,
20260422T203331Z,2ed4c8b,nanoserve,tinyllama-1.1b-chat,fp16,off,off,off,closed-loop,2.0,1,10,0.371,102.24,274.13,364.41,30.73,45.56,2449.61,3525.69,3587.49,30.69,484.1,1.0,1,,,,,,,,,
20260422T203440Z,2ed4c8b,nanoserve,tinyllama-1.1b-chat,fp16,on,off,off,closed-loop,2.0,4,20,0.457,259.4,718.89,786.58,111.89,131.79,8608.39,10056.91,10057.16,9.19,1500.2,3.75,4,,,,,,,,,
20260422T205205Z,3f5b429,nanoserve,tinyllama-1.1b-chat,fp16,off,off,off,poisson,2.0,4,40,0.336,40824.49,86807.13,90682.02,39.2,45.37,43867.71,89905.61,93756.83,26.69,878.8,1.0,1,,,,,,,,,
20260422T205404Z,3f5b429,nanoserve,tinyllama-1.1b-chat,fp16,on,off,off,poisson,1.0,4,40,0.353,17496.76,51895.01,54412.9,142.61,185.5,26667.54,64881.35,65501.8,7.11,857.9,3.756,4,,,,,,,,,
20260422T205614Z,3f5b429,nanoserve,tinyllama-1.1b-chat,fp16,on,off,off,poisson,2.0,4,40,0.329,35510.66,88233.97,88794.67,156.3,186.64,48160.57,97229.38,98172.27,6.46,741.6,3.892,4,,,,,,,,,
20260422T205811Z,aeb3fab,nanoserve,tinyllama-1.1b-chat,fp16,on,off,off,poisson,4.0,4,40,0.354,41174.42,92968.28,93055.56,149.23,170.98,52990.82,100766.11,101101.64,6.88,2097.1,3.88,4,,,,,,,,,
